                 , Pokedex, Living, Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
795 Pheromosa    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
796 Xurkitree    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
797 Celesteela   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
798 Kartana      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
799 Guzzlord     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
800 Necrozma     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Dusk Mane        ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,
Dawn Wings       ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,
801 Magearna     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
802 Marshadow    ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
803 Poipole      ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
804 Naganadel    ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
805 Stakataka    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
806 Blacephalon  ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
807 Zeraora      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
808 Meltan       ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
809 Melmetal     ,        ,       , -    , -   , -    , -  , -  , -   , -      ,           , -     , -       , -,  3,     ,   
GALAR            ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
810 Grookey      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
811 Thwackey     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
812 Rillaboom    ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           , -     , -       , -,  9,     ,   
813 Scorbunny    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
814 Raboot       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
815 Cinderace    ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           , -     , -       , -,  9,     ,   
816 Sobble       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
817 Drizzile     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
818 Inteleon     ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           , -     , -       , -,  9,     ,   
819 Skwovet      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
820 Greedent     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
821 Rookidee     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
822 Corvisquire  ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
823 Corviknight  ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           ,       ,         , -, 11,     ,   
824 Blipbug      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
825 Dottler      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
826 Orbeetle     ,        ,       ,      ,     ,      ,    ,    , -   , -      ,           ,       ,         , -, 10,     ,   
827 Nickit       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
828 Thievul      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
829 Gossifleur   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
830 Eldegoss     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
831 Wooloo       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
832 Dubwool      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
833 Chewtle      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
834 Drednaw      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
835 Yamper       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
836 Boltund      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
837 Rolycoly     ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  8,     ,   
838 Carkol       ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  8,     ,   
839 Coalossal    ,        ,       , -    ,     ,      ,    ,    , -   , -      ,           ,       ,         , -,  9,     ,   
840 Applin       ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  8,     ,   
841 Flapple      ,        ,       , -    ,     ,      ,    ,    , -   , -      ,           ,       ,         , -,  9,     ,   
842 Appletun     ,        ,       , -    ,     ,      ,    ,    , -   , -      ,           ,       ,         , -,  9,     ,   
843 Silicobra    ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  8,     ,   
844 Sandaconda   ,        ,       , -    ,     ,      ,    ,    , -   , -      ,           ,       ,         , -,  9,     ,   
845 Cramorant    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
846 Arrokuda     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
847 Barraskewda  , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
848 Toxel        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
849 Toxtricity   ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           ,       ,         , -, 11,     ,   
Lowkey           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Amped            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
850 Sizzlipede   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
851 Centiskorch  ,        ,       ,      ,     ,      ,    ,    , -   , -      ,           ,       ,         , -, 10,     ,   
852 Clobbopus    ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  8,     ,   
853 Grapploct    ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  8,     ,   
854 Sinistea     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Antique          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Phony            ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
855 Polteageist  ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Antique          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Phony            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
856 Hatenna      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
857 Hattrem      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
858 Hatterene    ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           , -     , -       , -,  9,     ,   
859 Impidimp     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
860 Morgrem      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
861 Grimmsnarl   ,        ,       ,      ,     ,      ,    ,    , -   , -      ,           , -     , -       , -,  8,     ,   
862 Obstagoon    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
863 Perrserker   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
864 Cursola      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
865 Sirfetch'd   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
866 Mr. Rime     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
867 Runerigus    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
868 Milcery      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
869 Alcremie     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
870 Falinks      ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         , -     , -       , -,  9,     ,   
871 Pincurchin   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
872 Snom         ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
873 Frosmoth     ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
874 Stonjourner  ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
875 Eiscue       , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
876 Indeedee     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
877 Morpeko      ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
878 Cufant       , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
879 Copperajah   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
880 Dracozolt    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
881 Arctozolt    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
882 Dracovish    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
883 Arctovish    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
884 Duraludon    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
885 Dreepy       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
886 Drakloak     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
887 Dragapult    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
888 Zacian       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,
Crowned Sword    ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,
889 Zamazenta    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,
Crowned Shield   ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,
890 Eternatus    ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
891 Kubfu        ,        ,       , -    ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  7,     ,   
892 Urshifu      ,        ,       , -    ,     ,      ,    ,    , -   ,        ,           , -     , -       , -,  8,     ,   
Single Strike    ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Rapid Strike     ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
893 Zarude       ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
894 Regieleki    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
895 Regidrago    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
896 Glastrier    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
897 Spectrier    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
898 Calyrex      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Ice Rider        , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Shadow Rider     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
899 Wyrdeer      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
900 Kleavor      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
901 Ursaluna     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
902 Basculegion  , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
903 Sneasler     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
904 Overqwil     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
PALDEA           ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
905 Enamorus     ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
Therian          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Incarnate        ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
906 Sprigatito   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
907 Floragato    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
908 Meowscarada  ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
909 Fuecoco      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
910 Crocalor     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
911 Skeledirge   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
912 Quaxly       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
913 Quaxwell     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
914 Quaquaval    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
915 Lechonk      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
916 Oinkologne   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
917 Tarountula   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
918 Spidops      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
919 Nymble       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
920 Lokix        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
921 Pawmi        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
922 Pawmo        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
923 Pawmot       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
924 Tandemaus    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
925 Maushold     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Family of 3      ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Family of 4      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
926 Fidough      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
927 Dachsbun     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
928 Smoliv       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
929 Dolliv       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
930 Arboliva     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
931 Squawkabilly ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
932 Nacli        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
933 Naclstack    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
934 Garganacl    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
935 Charcadet    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
936 Armarouge    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
937 Ceruledge    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
938 Tadbulb      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
939 Bellibolt    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
940 Wattrel      ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
941 Kilowattrel  ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
942 Maschiff     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
943 Mabosstiff   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
944 Shroodle     ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
945 Grafaiai     ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
946 Bramblin     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
947 Brambleghast , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
948 Toedscool    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
949 Toedscruel   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
950 Klawf        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
951 Capsakid     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
952 Scovillain   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
953 Rellor       , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
954 Rabsca       , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
955 Flittle      ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
956 Espathra     ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
957 Tinkatink    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
958 Tinkatuff    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
959 Tinkaton     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
960 Wiglett      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
961 Wugtrio      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
962 Bombirdier   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
963 Finizen      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
964 Palafin      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
965 Varoom       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
966 Revaroom     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
967 Cyclizar     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
968 Orthworm     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
969 Glimmet      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
970 Glimmora     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
971 Greavard     ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
972 Houndstone   ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
973 Flamigo      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
974 Cetoddle     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
975 Cetitan      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
976 Veluza       ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
977 Dondozo      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
978 Tatsugiri    ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
Curly            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Droopy           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Stretchy         ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
979 Annihilape   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
980 Clodsire     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
981 Farigaraf    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
982 Dudunsparce  ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Two-Segment      ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Three-Segment    ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
983 Kingambit    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
984 Great Tusk   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
985 Scream Tail  , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
986 Brute Bonnet , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
987 Flutter Mane , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
988 Slither Wing , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
989 Sandy Shocks , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
990 Iron Treads  , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
991 Iron Bundle  , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
992 Iron Hands   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
993 Iron Jugulis , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
994 Iron Moth    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
995 Iron Thorns  , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
996 Frigibax     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
997 Arctibax     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
998 Baxcalibur   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
999 Gimmighoul   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
1000 Gholdengo   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
1001 Wo-Chien    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1002 Chien-Pao   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1003 Ting-Lu     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1004 Chi-Yu      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1005 Roaring Moon, -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1006 Iron Valiant, -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1007 Koraidon    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1008 Miraidon    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1009 Walking Wake, -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1010 Iron Leaves , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1011 Dipplin     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
1012 Poltchageist,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
1013 Sinistcha   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
1014 Okidogi     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1015 Munkidori   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1016 Fezandipiti  , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1017 Ogerpon      , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1018 Archaludon  , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1019 Hydrapple   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
1020 Gouging Fire, -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
1021 Raging Bolt , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
